V1,p_1,V2,q_1,p_2,c_a,q_2,UA,c_d,type,UD
5.0,0.5,5.0,0.5,0.5,0.0,0.5,2.5,0.0,mixed,-2.5
5.0,0.5,5.0,0.5,0.5,0.0,0.5,2.5,1.0,mixed,-3.5
5.0,0.5,5.0,0.5,0.5,0.0,0.5,2.5,3.0,mixed,-5.5
5.0,0.5,5.0,0.5,0.5,1.0,0.5,1.5,0.0,mixed,-2.5
5.0,0.5,5.0,0.5,0.5,1.0,0.5,1.5,1.0,mixed,-3.5
5.0,0.5,5.0,0.5,0.5,1.0,0.5,1.5,3.0,mixed,-5.5
5.0,0.5,5.0,0.5,0.5,3.0,0.5,-0.5,0.0,mixed,-2.5
5.0,0.5,5.0,0.5,0.5,3.0,0.5,-0.5,1.0,mixed,-3.5
5.0,0.5,5.0,0.5,0.5,3.0,0.5,-0.5,3.0,mixed,-5.5
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,0.0,0.6666666666666667,3.3333333333333335,0.0,mixed,-3.3333333333333335
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,0.0,0.6666666666666667,3.3333333333333335,1.0,mixed,-4.333333333333334
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,0.0,0.6666666666666667,3.3333333333333335,3.0,mixed,-6.333333333333334
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666667,2.3333333333333335,0.0,mixed,-3.3333333333333335
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666667,2.3333333333333335,1.0,mixed,-4.333333333333334
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,1.0,0.6666666666666667,2.3333333333333335,3.0,mixed,-6.333333333333334
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,3.0,0.6666666666666667,0.33333333333333337,0.0,mixed,-3.3333333333333335
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,3.0,0.6666666666666667,0.33333333333333337,1.0,mixed,-4.333333333333334
5.0,0.6666666666666666,10.0,0.3333333333333333,0.33333333333333337,3.0,0.6666666666666667,0.33333333333333337,3.0,mixed,-6.333333333333334
5.0,0.75,15.0,0.25,0.25,0.0,0.75,3.75,0.0,mixed,-3.75
5.0,0.75,15.0,0.25,0.25,0.0,0.75,3.75,1.0,mixed,-4.75
5.0,0.75,15.0,0.25,0.25,0.0,0.75,3.75,3.0,mixed,-6.75
5.0,0.75,15.0,0.25,0.25,1.0,0.75,2.75,0.0,mixed,-3.75
5.0,0.75,15.0,0.25,0.25,1.0,0.75,2.75,1.0,mixed,-4.75
5.0,0.75,15.0,0.25,0.25,1.0,0.75,2.75,3.0,mixed,-6.75
5.0,0.75,15.0,0.25,0.25,3.0,0.75,0.75,0.0,mixed,-3.75
5.0,0.75,15.0,0.25,0.25,3.0,0.75,0.75,1.0,mixed,-4.75
5.0,0.75,15.0,0.25,0.25,3.0,0.75,0.75,3.0,mixed,-6.75
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,0.0,0.33333333333333337,3.3333333333333335,0.0,mixed,-3.3333333333333335
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,0.0,0.33333333333333337,3.3333333333333335,1.0,mixed,-4.333333333333333
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,0.0,0.33333333333333337,3.3333333333333335,3.0,mixed,-6.333333333333334
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,1.0,0.33333333333333337,2.3333333333333335,0.0,mixed,-3.3333333333333335
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,1.0,0.33333333333333337,2.3333333333333335,1.0,mixed,-4.333333333333333
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,1.0,0.33333333333333337,2.3333333333333335,3.0,mixed,-6.333333333333334
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,3.0,0.33333333333333337,0.3333333333333334,0.0,mixed,-3.3333333333333335
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,3.0,0.33333333333333337,0.3333333333333334,1.0,mixed,-4.333333333333333
10.0,0.3333333333333333,5.0,0.6666666666666666,0.6666666666666667,3.0,0.33333333333333337,0.3333333333333334,3.0,mixed,-6.333333333333334
10.0,0.5,10.0,0.5,0.5,0.0,0.5,5.0,0.0,mixed,-5.0
10.0,0.5,10.0,0.5,0.5,0.0,0.5,5.0,1.0,mixed,-6.0
10.0,0.5,10.0,0.5,0.5,0.0,0.5,5.0,3.0,mixed,-8.0
10.0,0.5,10.0,0.5,0.5,1.0,0.5,4.0,0.0,mixed,-5.0
10.0,0.5,10.0,0.5,0.5,1.0,0.5,4.0,1.0,mixed,-6.0
10.0,0.5,10.0,0.5,0.5,1.0,0.5,4.0,3.0,mixed,-8.0
10.0,0.5,10.0,0.5,0.5,3.0,0.5,2.0,0.0,mixed,-5.0
10.0,0.5,10.0,0.5,0.5,3.0,0.5,2.0,1.0,mixed,-6.0
10.0,0.5,10.0,0.5,0.5,3.0,0.5,2.0,3.0,mixed,-8.0
10.0,0.6,15.0,0.4,0.4,0.0,0.6,6.0,0.0,mixed,-6.0
10.0,0.6,15.0,0.4,0.4,0.0,0.6,6.0,1.0,mixed,-7.0
10.0,0.6,15.0,0.4,0.4,0.0,0.6,6.0,3.0,mixed,-9.0
10.0,0.6,15.0,0.4,0.4,1.0,0.6,5.0,0.0,mixed,-6.0
10.0,0.6,15.0,0.4,0.4,1.0,0.6,5.0,1.0,mixed,-7.0
10.0,0.6,15.0,0.4,0.4,1.0,0.6,5.0,3.0,mixed,-9.0
10.0,0.6,15.0,0.4,0.4,3.0,0.6,3.0,0.0,mixed,-6.0
10.0,0.6,15.0,0.4,0.4,3.0,0.6,3.0,1.0,mixed,-7.0
10.0,0.6,15.0,0.4,0.4,3.0,0.6,3.0,3.0,mixed,-9.0
15.0,0.25,5.0,0.75,0.75,0.0,0.25,3.75,0.0,mixed,-3.75
15.0,0.25,5.0,0.75,0.75,0.0,0.25,3.75,1.0,mixed,-4.75
15.0,0.25,5.0,0.75,0.75,0.0,0.25,3.75,3.0,mixed,-6.75
15.0,0.25,5.0,0.75,0.75,1.0,0.25,2.75,0.0,mixed,-3.75
15.0,0.25,5.0,0.75,0.75,1.0,0.25,2.75,1.0,mixed,-4.75
15.0,0.25,5.0,0.75,0.75,1.0,0.25,2.75,3.0,mixed,-6.75
15.0,0.25,5.0,0.75,0.75,3.0,0.25,0.75,0.0,mixed,-3.75
15.0,0.25,5.0,0.75,0.75,3.0,0.25,0.75,1.0,mixed,-4.75
15.0,0.25,5.0,0.75,0.75,3.0,0.25,0.75,3.0,mixed,-6.75
15.0,0.4,10.0,0.6,0.6,0.0,0.4,6.0,0.0,mixed,-6.0
15.0,0.4,10.0,0.6,0.6,0.0,0.4,6.0,1.0,mixed,-7.0
15.0,0.4,10.0,0.6,0.6,0.0,0.4,6.0,3.0,mixed,-9.0
15.0,0.4,10.0,0.6,0.6,1.0,0.4,5.0,0.0,mixed,-6.0
15.0,0.4,10.0,0.6,0.6,1.0,0.4,5.0,1.0,mixed,-7.0
15.0,0.4,10.0,0.6,0.6,1.0,0.4,5.0,3.0,mixed,-9.0
15.0,0.4,10.0,0.6,0.6,3.0,0.4,3.0,0.0,mixed,-6.0
15.0,0.4,10.0,0.6,0.6,3.0,0.4,3.0,1.0,mixed,-7.0
15.0,0.4,10.0,0.6,0.6,3.0,0.4,3.0,3.0,mixed,-9.0
15.0,0.5,15.0,0.5,0.5,0.0,0.5,7.5,0.0,mixed,-7.5
15.0,0.5,15.0,0.5,0.5,0.0,0.5,7.5,1.0,mixed,-8.5
15.0,0.5,15.0,0.5,0.5,0.0,0.5,7.5,3.0,mixed,-10.5
15.0,0.5,15.0,0.5,0.5,1.0,0.5,6.5,0.0,mixed,-7.5
15.0,0.5,15.0,0.5,0.5,1.0,0.5,6.5,1.0,mixed,-8.5
15.0,0.5,15.0,0.5,0.5,1.0,0.5,6.5,3.0,mixed,-10.5
15.0,0.5,15.0,0.5,0.5,3.0,0.5,4.5,0.0,mixed,-7.5
15.0,0.5,15.0,0.5,0.5,3.0,0.5,4.5,1.0,mixed,-8.5
15.0,0.5,15.0,0.5,0.5,3.0,0.5,4.5,3.0,mixed,-10.5
